N,Naučni naziv vrste,Srpski naziv vrste,Sinonimi,Porodica,Ilustracije,Ilustracije zenke,Silueta,Staniste,Boje,Boje zenke,Glavni tekst,,Dužina tela (cm),Raspon krila (cm),Masa (g),Ishrana,Gnezdarica/Negnezdarica,,Ugrožena (DA/NE)
2,Accipiter nisus,Kobac,,orlovi i jastrebovi (Accipitridae),kobac_ms; kobac_zs; kobac_zl,kobac_zs; kobac_zl; kobac_ms,Dnevne grabljivice,sume; sikare i zbunjaci; mesovita stanista; naselja,siva; narandzasta; bela,siva; bela,"Mala agilna ptica grabljivica šumskih i mozaičnih predela. Lovi najčešće munjevitim napadom iz zasede. Zimi mnogo uočljiviji jer se viđa i u naseljima, prateći jata senica, gugutki i vrabaca kojima se hrani. Izgledom vrlo sličan jastrebu, ali upečatljivo sitniji i vitkiji. Ženka je često i duplo teža od mužjaka. Gnezdo je visoko u krošnji, često na četinaru.",360,28-38,55-70,110-342,manje ptice,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
55,Carduelis cannabina,Konopljarka,,zebe (Fringillidae),konopljarka_m; konopljarka_z,konopljarka_z; konopljarka_m,Ptice pevacice,"sikare i zbunjaci; njive; mesovita stanista; kamenjari, litice i odseci",crna; crvena; siva; braon; bela,braon; bela; crna,"Karmincrvene grudi mužjaka i račvast rep su glavni karakteri za prepoznavanje ove vrste. Široko rasporstranjenja, ali ne i brojna ptica mozaičnih i otvorenih staništa. Gnezdi se u žbunju. Zimi se okuplja u jata koja broje i nekoliko hiljada jedinki. ",250,"13,5",21-25,15-22,semenje i insekti,Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
159,Monticola saxatilis,Kos kamenjar,,muharice (Muscicapidae),kos_kamenjar,,Ptice pevacice,"travnjaci; kamenjari, litice i odseci",braon; crna; siva; bela; narandzasta; plava,braon; narandzasta; bez; crna,"Jedna od najupečatljivijih ptica iz porodice drozdova sa kojom se možete sresti u Srbiji. Mužjaci su lako prepoznatljivi po svetloplavoj glavi, riđim grudima i stomaku i tamnim krilima. Rep je takođe riđe boje, sa crnom prugom u sredini. Vodi prilično skrovit život u suvim i kamenitim područjima brdskih i visokoplaninskih krajeva. Selica je i zimu provodi u Africi.",367,17-20,33-37,40-65,"insekti, bobice, voće",Gnezdarica (oko hiljadu parova).,Redovna i na seobi.,NE
255,Turdus torquatus,Kos ogrličar,,drozdovi (Turdidae),kos_ogrlicar,,Ptice pevacice,"sume; sikare i zbunjaci; kamenjari, litice i odseci",crna; bela,,"Redak visokoplaninski srodnik kosa prepoznatljiv po beloj ogrlici. Naseljava vrhove planina pod klekom i patuljastim borom uz gornju granicu šuma, a van perioda gnežđenja sreće se i u drugim krajevima zemlje. Gnezda gradi u žbunju.",231,23-24,38-42,95-130,insekti i bobice,Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
219,Regulus regulus,Kraljić,,kraljići (Reguliidae),kraljic,,Ptice pevacice,sume; sikare i zbunjaci; naselja,zuta; siva; zelena; bela; crna,,"Živahna, simpatična i piskutave pesme. Zajedno sa vatroglavim kraljićem, najmanja ptica Evrope. Za razliku od svog srodnika, kraljić nema crnu prugu na oku. Gnezdarica je četinarskih šuma brdsko-planinskih krajeva, koja tokom seobe i zime posećuje i druge krajeve zemlje.",271,9,13-16,5-7,sitni insekti i paukovi,Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
61,Certhia familiaris,Kratkokljuni puzić,,puzići (Certhiidae),kratkokljuni_puzic,,Ptice pevacice,sume; sikare i zbunjaci,braon; crna; bez; siva; bela,,"Tiha i skrovita vrsta ptice. Za razliku od dugokljunog puzića, naseljava mahom planinske mešovite i četinarske šume. Obe vrste su vrlo sličnog izgleda pa je oglašavanje najpouzdaniji karakter za njihovo raspoznavanje. Gnezdi se pod korom suvih četinara. Zimi se povremeno spušta i u ravničarske predele kada se viđa i u naseljima.",330,"12,5",18-21,8-12,"insekti, paukovi",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
14,Anas crecca,Krdža,,plovke (Anatidae),krdza_m; krdza_z,krdza_z; krdza_m,Patkolike ptice,vodena stanista,siva; zuta; braon; bela; zelena,braon; bez; siva; bela; zelena,"Naša najmanja, ali u letu najbrža plovka. Pri poletanju gotovo se vertikalno uzdiže sa vode. Plašljiva vrsta. Mužjak se odlikuje jarko kestenjastom bojom perja na glavi. Sreće se na različitim vodenim staništima, a najbrojnija je u periodu seobe i zimovanja. Ekstremno retka gnezdarica Srbije.",293,34-38,58-64,240-360,"semenje, beskičmenjaci",Gnezdarica (manje od 10 parova).,Prisutna tokom cele godine.,NE
247,Tringa nebularia,Krivokljuni sprudnik,,šljukarice (Scolopacidae),krivokljuni_sprudnik,,Sljukarice i barske koke,vodena stanista,siva; crna; bela,,"Uglavnom se sreće pojedinačno, izuzetno u manjim jatima, na različitim vodenim staništima u priobalju i plićacima. Od ostalih sprudnika najlakše ga je prepoznati po kljunu blago zakrivljenom na gore i zelenkastim nogama. Redovan, ali malobrojan na seobi u Vojvodini, a sporadično i južnije.",290,32,69,190,"crvi, puževi, riba",Ne gnezdi se u Srbiji.,"Redovan na seobi, sporadičan zimi.",NE
28,Aquila heliaca,Krstaš,Orao krstaš,orlovi i jastrebovi (Accipitridae),krstas,,Dnevne grabljivice,sume; travnjaci; njive; mesovita stanista,crna; braon; bela,,"Krupan orao dolinskih i brdskih predela. Na ivici opstanka sa samo jednim poznatim gnezdećim parom, smeštenim u Banatu. Poslednjih decenija iščezao sa Deliblatske peščare, Vršačkog brega i Fruške gore. U letu se prepoznaje po karakterističnim belinama na ramenom delu krila. Gnezdi se od marta do jula, gradeći ogromna gnezda visoko na drveću. Mlade ptice polno zrele postaju tek sa 5 godina starosti. Ugrožen trovanjem, krivolovom, nestankom tekunice - glavnog plena u prošlosti i drugim faktorima.",499,72-84,"1,8-2,15 m",2450-4530,sitniji sisari,Gnezdarica (manje od 10 parova).,Prisutna tokom cele godine.,DA
148,Loxia curvirostra,Krstokljun,,zebe (Fringillidae),krstokljun_m; krstokljun_z,krstokljun_z; krstokljun_m,Ptice pevacice,sume; sikare i zbunjaci,braon; crvena; siva; narandzasta,zelena; braon; siva,"Veoma upečatljiva ptica iz porodice zeba, lako prepoznatljiva po krupnoj glavi i specičnom kljunu koji je ukršten na vrhu kao posebno prilagođenost ishrani semenkama iz šišarki četinara. Odrasli mužjaci su ružičastocrveni, dok su ženke sivo-zelene. Naseljava visokoplaninske četinarske šume, a zimi se može stesti i na nižim nadmorskim visinama. ",346,"16,5","27-30,5",35-50,semenke četinara,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
185,Pelecanus crispus,Kudravi nesit,,pelikani (Pelecanidae),kudravi_nesit,,Capljolike ptice; Patkolike ptice,vodena stanista,bela; crna,,"Veoma krupna, sivkasto-bela ptica vodenih staništa, sa dugim krilima i snažnim, dugim kljunom koji se na kraju završava malom kukom. Ispod donje vilice nalazi se kožna vreća za privremeno skladištenje hrane koja je kod odraslih ptica leti narandžasta. U letu se može prepoznati i po sivim nogama i sivim letnim perima krila. U Srbiji se izuzetno retko i slučajno može sresti tokom lutanja van perioda gnežđenja. ",412,160-180,270-320,10000-13000,riba,Ne gnezdi se u Srbiji.,Sreće se na lutanju.,NE
41,Bombycilla garrulus,Kugara,,svilorepe (Bombycillidae),kugara,,Ptice pevacice,sikare i zbunjaci; mesovita stanista; naselja,crna; crvena; narandzasta; bez; zuta; siva,,"Redak zimski gost iz severne Evroazije. Viđa se u jatima i to uglavnom na svakih nekoliko godina, kada na severu slabo rode bobice kojima se hrani. Kod nas se najčešće sreće u ravnici i pobrđu na mestima gde ima plodova vatrenog trna, koprivića i imele. Nisu plašljive.",269,18,32-35,45-70,bobice,Ne gnezdi se u Srbiji.,Sporadična na zimovanju i lutanju.,NE
36,Athene noctua,Kukumavka,,prave sove (Strigidae),kukumavka,,Sove,"travnjaci; njive; mesovita stanista; kamenjari, litice i odseci; naselja",braon; bela,,"Mala i relativno bučna sova koja obitava u ravničarskim i brdskim naseljima. Poznata je takođe i kao simbol grčke boginje Atine. Gnezdi se i odmara u pukotinama starih kuća i pomoćnim objektima poput šupa i čardaka. Najaktivnija je u sumrak i zoru kada lovi na okolnim baštama, njivama i livadama. Oglašava se tokom cele godine, a posebno je aktivna tokom marta i aprila. Vrlo korisna jer jede miševe.",401,21-23,54-58,140-220,"sitni sisari i ptice, bube i crvi",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
257,Tyto alba,Kukuvija,,kukuvije (Tytonidae),kukuvija,,Sove,travnjaci; njive; mesovita stanista; naselja,bela; narandzasta; siva,,"Svetla sova čistih linija i harizmatičnog izgleda, srcolikog lica. Uz najtiši let među pticama, odaje je jedino vrišteći zov. Tipičan stanovnik tavana, potkrovlja i drugih skrovitih delova objekata. Ishranom je vezana za otvorene predele, mahom u nizijama. Izuzetno korisna ptica, ali često strada na putevima i trovanjem.",322,33-39,80-95,250-350,"miševi, voluharice, rovčice, sitne ptice i dr",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
89,Cygnus olor,Labud grbac,,plovke (Anatidae),labud_grbac,,Patkolike ptice,vodena stanista,bela,,Najčešća i najpoznatija vrsta labuda koja se sreće u Srbiji. Naseljava veće vodene površine u ravničarskim delovima zemlje. Najbrojniji je na području Vojvodine. Zimi se skuplja u jata koja ponekad broje nekoliko stotina jedinki. Nije plašljiv. Tokom zime rado prilazi ljudima koji ga hrane žitaricama (pre svega kukuruzom).,324,140-160,208-238,1000-1200,"vodeno rastinje, insekti i puževi",Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
110,Falco subbuteo,Lastavičar,Soko lastavičar,pravi sokolovi (Falconidae),lastavicar,,Dnevne grabljivice,travnjaci; njive; mesovita stanista; vodena stanista,crvena; crna; siva; narandzasta; bela,,"Prepoznatljiv po dugačkim elegantnim krilima u odnosu na telo i karakterističnom crveno obojenom podrepku i donjem delu stomaka. Veoma sposoban i brz lovac koji u letu izvodi vratolomne akrobacije prilikom lova, naročito lasta i čiopa. Plen često jede u letu. Gnezdi se na drveću u najrazličitijim staništima i nadmorskim visinama. U Srbiju stiže tokom aprila i maja meseca, dok zimu provodi u Africi. ",402,28-36,70-92,131-340,"ptice, insekti",Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,NE
54,Caprimulgus europaeus,Leganj,,legnjevi (Caprimulgidae),leganj,,Ptice pevacice,"sume; sikare i zbunjaci; mesovita stanista; kamenjari, litice i odseci",braon; crna; bez; siva; bela,,"Pored sova, jedna od retkih vrsta ptica koje su aktivne noću. Preko dana odmara na drvetu ili tlu, gde je praktično nevidljiv usled kamuflažne obojenosti. Poznat je i kao kozodoj usled narodnog verovanja da tokom noći siše mleko krupne stoke. Ponekad se može videti u sumrak ili zoru u brzom i lelujavom letu, ali mnogo češće se samo čuje. Prisutan od aprila do oktobra. Gnezdi se na tlu u mozaičnim i šumskim predelima bogatim kamenjarima i čistinama.",452,26-28,57-64,65-100,noćni leptiri i bube,Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
165,Nucifraga caryocatactes,Lešnjikara,,vrane (Corvidae),lesnjikara,,Vranolike ptice,sume,crna; braon; bela,,"Sreće se i gnezdi u četinarskim, a naročito smrčevim šumama u planinskim predelima Srbije. Tokom zimskih meseci spušta se u niže krajeve u šumarke i zabrane bogate lešnikom. Veoma upečatljiva, krupna ptica, braon boje sa krupnim belim pegama. Na glavi ima braon kapu, a ističe se i snažan crn kljun. Krila i rep su crni, dok su ivice repa i podrepak beli. Ima specifično kreštavo, relativno tiho oglašavanje. ",409,32-35,49-53,124-220,"semenke četinara, orašasti plodovi",Gnezdarica (oko hiljadu parova).,Prisutna tokom cele godine.,NE
42,Bonasa bonasia,Leštarka,,fazani (Phasianidae),lestarka,,Kokosi i droplje,sume; sikare i zbunjaci,narandzasta; crna; braon; siva; bela; bez,,"Skrovita šumska koka sive, kamuflažne obojenosti. Naseljava bukove, mešovite i četinarske šume iznad 600 m n. v. Retko se posmatra i to najčešće u momentu kada preplašeno prhne sa šumskog tla ili drveta. Gnezdi se na tlu ispod žbuna ili uz stablo drveta. Najbrojnija na prostoru jugozapadne Srbije.",298,35-37,45-48,300-430,"cvetovi, pupoljci, semenje, bobice, voće i dr",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
19,Anser albifrons,Lisasta guska,,plovke (Anatidae),lisasta_guska,,Patkolike ptice,travnjaci; njive; vodena stanista,siva; bela; braon,,"Zimski gost sa severa. Sreće se od oktobra do marta u većim ili manjim jatima na vodenim površinama i njihovoj okolini. U letu jata formiraju karakteristične formacije uglavnom u obliku latiničnog slova V. Gnezdi se na području arktičke tundre. Prepoznaje se po nešto tamnijim krilima u letu, belom čelu i za uho prijatnom oglašavanju. Lovna je vrsta.",351,65-78,"1,3-1,6 m",1900-2500,"trava, korenje, semenje i druga biljna hrana",Ne gnezdi se u Srbiji.,Redovna na zimovanju i seobi.,NE
118,Fulica atra,Liska,,barske koke (Rallidae),liska,,Sljukarice i barske koke; Patkolike ptice,vodena stanista,crna; bela,,"Jedna od češćih ptica na barama i ravničarskim sporim rekama sa bogatim barskim rastinjem od kog svija gnezda. Lako prepoznatljiva po belom kljunu i rožnoj ploči na čelu, u kontrastu sa crnim telom. Oglašava se prodorno i piskavo, veoma je teritorijalna i često agresivno napada i proganja uljeze. Tokom zimskih meseci može se grupisati u velika jata.",351,36-38,70-80,600-900,"vodena vegetacija, mekušci i larve insekata",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
23,Anthus pratensis,Livadska trepteljka,,pliske (Motacillidae),livadska_trepteljka,,Ptice pevacice,travnjaci; njive; vodena stanista,crna; bez; braon; siva; bela,,Gost na seobi i tokom zime. Brojnija u jesen nego u proleće. Viđa se u manjim jatima. Uglavnom boravi na travnatim staništima i njivama u niziji i pobrđu. Od slične šumske trepteljke razlikuje se po oglašavanju i prugastijim bokovima. Plašljiva i teška vrsta za fotografisanje.,277,"14,5",22-25,15-22,insekti I paukovi,Ne gnezdi se u Srbiji.,Posmatrana tokom seobe i zimovanja.,NE
97,Egretta garzetta,Mala bela čaplja,,čaplje (Ardeidae),mala_bela_caplja,,Capljolike ptice,travnjaci; vodena stanista,bela,,"Upola manji rođak velike bele čaplje, žutih stopala i kratkog vrata. Sreće se na svim tipovima vodenih staništa ravničarskih, a ređe i brdskih predela. Gnezdi se na žbunju i drveću, kao i u trsci. Najčešća je tokom toplijeg dela godine. U prošlosti masovno lovljena zbog prelepog perja koje dobija na temenu glave u periodu gnežđenja, a koje se koristilo kao ukras na šeširima.",377,55-65,88-95,350-550,riba,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
167,Numenius phaeopus,Mala carska šljuka,,šljukarice (Scolopacidae),mala_carska_sljuka,,Sljukarice i barske koke,travnjaci; vodena stanista,crna; bez; siva; bela; braon,,"Sreće se redovno tokom seobe u manjim jatima na vlažnim livadama, slatinama i poljoprivrednim površinama u okolini bara i drugih izvora vode. Prepoznatljiva je po dugačkom kljunu u odnosu na telo, povijenom na dole, kao i tamnoj očnoj pruzi (supercilija) i tamnim prugama na glavi. U letu su uočljivi i tamni vrhovi krila, beli nadrepak i bele šare na leđima. Od slične, velike carske šljuke se najlakše razlikuje po nešto kraćem kljunu, tamnoj superciliji i tamnim prugama na glavi, kao i veličini tela.",504,37-45,78-88,270-450,"insekti, puževi, mekušći, gliste",Ne gnezdi se u Srbiji.,"Redovna na seobi, sporadično i zimuje.",NE
227,Sternula albifrons,Mala čigra,,galebovi (Laridae),mala_cigra,,Galebovi i cigre,vodena stanista,crna; siva; bela,,"Hitra, najmanja čigra u Srbiji, upadljivog žutog kljuna i nogu u gnezdećem periodu. Gnezdi se kolonijalno na peščanim i šljunkovitim ostrvima, bez puno rastinja. U Srbiji opstaje na svega nekoliko takvih mesta na Drini i Dunavu. Zimu provodi u Africi.",251,22-24,48-55,49-63,riba,Gnezdarica (manje od 100 parova).,Redovna i na seobi.,DA
115,Ficedula parva,Mala muharica,,muharice (Muscicapidae),mala_muharica_m; mala_muharica_z,mala_muharica_z; mala_muharica_m,Ptice pevacice,sume,crna; narandzasta; siva; braon; bela,crna; siva; braon; bela,"Najmanja muharica u Srbiji. Naseljava stare šume, prvenstveno listopadne bukove, ali i mešovite. Može se sresti i u blizini potoka ili drugih voda i u zatvorenim šumama sa gustim podrastom. Prepoznatljiva po jarkonarandžastom vratu i grudima kod odraslih mužjaka, kao i sivoj glavi i crno-belim šarama repa. Kao i ostale muharice, uglavnom lovi insekte u letu. U Srbiju dolazi na proleće, a u jesen napušta zemlju ka zimovalištima u Aziji.",439,11-12,18-22,"8,5-11,5","insekti, paukovi i drugi beskičmenjaci",Gnezdarica (oko hiljadu parova).,Redovna i na seobi.,NE
53,Calidris minuta,Mala sprutka,,šljukarice (Scolopacidae),mala_sprutka_g; mala_sprutka_ng,,Sljukarice i barske koke,vodena stanista,crna; braon; siva; bela,,"Najmanja vrsta sprutke koja se sreće u Srbiji. Od sede sprutke se razlikuje po oglašavanju, kraćim nogama i tamnom repu. Pojedinačni primerci ili manje grupe viđaju se najčešće tokom jesenje seobe. Kao i druge sprutke hranu pronalazi u plitkoj stajaćoj vodi ili mulju. Brz je i vešt letač. Nije plašljiva i često se može posmatrati iz neposredne blizine.",354,12-14,34-37,20-40,"insekti, rakovi, mekušci",Ne gnezdi se u Srbiji.,Prisutna na seobi i lutanju.,NE
94,Dryobates minor,Mali detlić,,detlići (Picidae),mali_detlic,,Detlici,sume; mesovita stanista; vodena stanista,crna; crvena; bela,,"Najmanja vrsta detlića u Evropi. Češće se čuje nego vidi. Prepoznatljiv po odsustvu crvenog podrepka, a samo mužjak ima crvenu kapu. Nastanjuje šume mekih lišćara (topole, breze, jove, vrbe, lipe) na svim nadmorskim visinama, ali je dosta češći u ravnici i pobrđu. Gnezdi se u duplji koju sam dubi. Hrani se uglavnom na tanjim i bočnim granama.",344,14-15,25-27,20-25,insekti,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
251,Turdus iliacus,Mali drozd,,drozdovi (Turdidae),mali_drozd,,Ptice pevacice,sikare i zbunjaci; mesovita stanista; naselja,braon; crna; narandzasta; bez; siva; bela,,"Srećemo ga u jatima širom zemlje od jeseni do proleća, uglavnom u nizijama i pobrđu, ponekad zajedno sa drozdom borovnjakom. Od njega je znatno manji, a prepoznatljiv je po svetloj obrvi i crvenkastim bokovima.",210,21,33-35,50-75,"bobice, crvi",Ne gnezdi se u Srbiji.,Redovan na zimovanju i seobi.,NE
239,Tachybaptus ruficollis,Mali gnjurac,,gnjurci (Podicipedidae),mali_gnjurac_g; mali_gnjurac_ng,,Patkolike ptice,vodena stanista,crna; braon; zuta; bela; bez,,"Naš najmanji gnjurac, uz učestala zaranjanja i simpatičnu siluetu zimi. Prisutan je na raznolikim vodenim staništima širom Srbije, a gnezdi se u rastinju stajaćih voda.",168,25-29,40-45,100-140,"insekti, sitna riba",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
153,Mergellus albellus,Mali ronac,,plovke (Anatidae),mali_ronac_m; mali_ronac_z,mali_ronac_z; mali_ronac_m,Patkolike ptice,vodena stanista,siva; bela; crna,bela; siva; braon,"Redak zimski gost jezera i velikih ravničarskih reka u Srbiji. Ova patka ronilica ima relativno malo, kompaktno telo i delikatan taman kljun. Veoma je upečatljiva ptica, naročito odrasli, beli mužjaci sa crnom maskom na licu, crnim leđima i specifičnom ""V"" šarom na pozadini glave. Krila su u osnovi crne boje sa izraženim belim prugama. ",338,36-44,55-69,500-800,"riba, insekti i njihove larve",Ne gnezdi se u Srbiji.,Redovan na zimovanju.,DA
150,Luscinia megarhynchos,Mali slavuj,,muharice (Muscicapidae),mali_slavuj,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,braon; bela; siva,,"Jedna od najpoznatijih ptica pevačica u svetu, sa melodičnim, raznovrsnim i prodornim oglašavanjem, redovno i tokom cele noći. Teško je uočljiva jer uglavnom peva iz gustog žbunja. Veoma brojna u Srbiji, a najčešća u mozaičnim, šumovitim nizijskim i brdsko-planinskim staništima sa gustim podrastom. Po izgledu je prepoznajemo po riđem repu i riđe-braon leđima i krilima. Selica je i zimuje i podsaharskoj Africi. ",414,15-17,23-26,17-24,insekti,Gnezdarica (preko 100 hiljada parova).,Redovna i na seobi.,NE
108,Falco columbarius,Mali soko,,pravi sokolovi (Falconidae),mali_soko_m; mali_soko_z,mali_soko_z; mali_soko_m,Dnevne grabljivice,travnjaci; njive; mesovita stanista,bez; crna; narandzasta; bela,braon; bez,"Najmanji soko koji se može sresti u Evropi. U Srbiji se može posmatrati tokom zime. Odrasle ptice imaju bledo narandžast stomak i grudi. Veoma je spretan lovac koji zna da proganja plen na duge razdaljine. U letu silueta malog sokola dosta podseća na kobca, a razlikuje se po više pruga na repu i krilima.",305,25-30,50-62,125-300,sitne ptice,Ne gnezdi se u Srbiji.,Redovan na zimovanju.,NE
190,Microcarbo pygmaeus,Mali vranac,,vranci (Phalacrocoracidae),mali_vranac,,Capljolike ptice; Patkolike ptice,vodena stanista,crna; bela,,"Malobrojna gnezdarica Srbije, koja se gnezdi kolonijalno u priobalju velkih ravničarskih reka, bara, ribnjaka i drugih akumulacija. Gnezda smešta na drveću. Tokom zimskih meseci se može posmatrati u znatno većem broju na rekama i akumulacijama širom zemlje. Odrasle ptice su tokom gnezdećeg perioda crne sa tamnobraon glavom. Imaju relativno dug rep u odnosu na telo i kratak kljun koji se na kraju završava malom kukom. ",421,45-55,75-90,565-870,riba,Gnezdarica (oko hiljadu parova).,Prisutna tokom cele godine.,NE
49,Buteo buteo,Mišar,,orlovi i jastrebovi (Accipitridae),misar,,Dnevne grabljivice,sume; sikare i zbunjaci; travnjaci; njive; mesovita stanista,crna; braon; bez; bela,,"Uz vetrušku, najčešća dnevna grabljivica u Srbiji. Naseljava sve tipove staništa i nadmorske visine, a najbrojniji je u mozaičnim staništima. Lovi sa osmatračnice pa ga često možemo posmatrati na dalekovodnim stubovima, usamljenom drveću, stubovima ograda duž autoputa i drugim istaknutim tačkama. Gnezdi se od aprila do jula. Krupno gnezdo od grana i grančica gradi na drvetu u glavnim rašljama. Zbog ishrane glodarima vrlo koristan u poljoprivredi.",450,51-57,113-128,550-1300,"sitni sisari, ptice, leševi životinja",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
151,Luscinia svecica,Modrovoljka,,muharice (Muscicapidae),modrovoljka_m; modrovoljka_z,modrovoljka_z; modrovoljka_m,Ptice pevacice,vodena stanista,narandzasta; crna; braon; siva; plava; bela,narandzasta; crna; braon; siva; bela,"Retka je i malobrojna gnezdarica Srbije i to u tršćacima priobalnih pojaseva nizijskih reka, bara, močvara i kanala za navodnjavanje. Mužjak je lako prepoznatljiv po svetloplavom vratu i grudima, odole oivičenim uskom crnom i belom i širokom riđom prugom. Na glavi ima uočljivu, široku beličastu očnu prugu (supeciliju), dok je osnova repa upečatljivo roze. Zimu provodi u Africi i zapadnoj Indiji.",398,13-14,"20-22,5",20,"insekti, bobice",Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,NE
80,Coracias garrulus,Modrovrana,,prave modrovrane (Coraciidae),modrovrana,,Vranolike ptice; Golubolike ptice; Ptice pevacice,travnjaci; njive; mesovita stanista,braon; crna; plava,,"Po mnogima najlepša ptica koja naseljava našu zemlju. Najbrojnija je na severu Banata i Bačke, a gotovo čitava populacija danas se gnezdi u namenski postavljenim kućicama. Redovno bira istaknute tačke otvorenog predela, sa kojih osmatra teren i lovi. Prisutna od maja do septembra. Ugrožena preoravanjem livada i pašnjaka, kao i šečom starog drveća.",349,30-32,66-73,127-160,"insekti, drugi beskičmenjaci, gušteri i dr.",Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,NE
39,Aythya marila,Morska crnka,,plovke (Anatidae),morska_crnka,,Patkolike ptice,vodena stanista,crna; siva; bela,siva; braon; crna; bela,"Najređa vrsta patke ronilice u našoj zemlji. Negnezdarica koja u naše krajeve povremeno dolazi samo u zimskom periodu. Mužjak je življe obojen od ženke. Uvek je u jatima sa drugim patkama. Prilično slična ćubastoj patki, od koje se razlikuje po svetlijim leđima mužjaka i belini u osnovi kljuna ženke.",301,42-51,67-78,800-1300,"mekušci, rakovi, insekti, rastinje",Ne gnezdi se u Srbiji.,Povremena na zimovanju.,DA
140,Larus michahellis/cachinnans,Morski/Sinji galeb,,galebovi (Laridae),morski_sinji_galeb,,Galebovi i cigre,njive; naselja; vodena stanista,crna; siva; bela,,"Dve blisko srodne i najkrupnije vrste iz porodice galebova u Srbiji. Mogu se međusobno ukrštati, pa ih je teško, a ponekad i nemoguće razlikovati po spoljašnjem izgledu. Odrasle ptice su prepoznatljive po tamno sivim leđima i krilima, žutim nogama i kljunu koji nosi upečatljivu crvenu mrlju. Prisutni su tokom zime i seobe, a najbrojniji su u okolini velikih deponija i ribnjaka. ",381,52-68,120-145,420-1600,"riba, beskičmenjaci, sisari, otpaci",Ne gnezde se u Srbiji.,Posetioci na zimovanju i seobi.,NE
142,Larus fuscus,Mrki galeb,,galebovi (Laridae),mrki_galeb,,Galebovi i cigre,naselja; vodena stanista,crna; siva; bela,,"Redak gost u Srbiji tokom seobe. Zadržava se u okolini velikih ravničarskih reka, jezera i ribnjaka, a najčešće se može posmatrati na deponijama u društvu drugih velikih galebova. Odrasle ptice prepoznajemo po crnim leđima i krilima, žutim nogama i kljunu koji na sebi ima upečatljivu crvenu mrlju.",298,52-54,135-150,620-1000,svaštojed,Ne gnezdi se u Srbiji.,Posetilac na zimovanju i seobi.,NE
145,Limosa limosa,Muljača,,šljukarice (Scolopacidae),muljaca,,Sljukarice i barske koke,travnjaci; vodena stanista,crna; narandzasta; siva; bela,,"Upečatljiva ptica dugih crnih nogu i dugog, tankog kljuna blago povijenog na gore, narandžaste boje u osnovi, a crne na vrhu. Grudi, vrat i glava su riđi kod odraslih ptica  u periodu gnežđenja. Veoma je retka i malobrojna gnezdarica vlažnih livada i slatina u Srbiji. Oglašava se piskavo i to često u letu prilikom udvaranja. ",327,40-44,70-82,280-340,"gliste, puževi, insekti",Gnezdarica (manje od 100 parova).,Posmatrana i na seobi,DA
212,Prunella modularis,Običan popić,,popići (Prunellidae),obican_popic,,Ptice pevacice,sume; sikare i zbunjaci,crna; braon; siva; bela,,"Mala braon-siva ptica visokoplaninskih šuma sa proplancima i žbunja kleke iznad šumske granice. Gnezda pravi u žbunju, na tlu. Obično skrovita, osim dok peva sa vrhova drveća. Tokom zime se sreće i u ravnici, a posećuje i hranilice. ",233,14,19-21,19-24,"insekti, paukovi, crvi, semenje",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
169,Oenanthe oenanthe,Obična beloguza,,muharice (Muscicapidae),obicna_beloguza_m; obicna_beloguza_z,obicna_beloguza_z; obicna_beloguza_m,Ptice pevacice,"travnjaci; njive; kamenjari, litice i odseci",crna; narandzasta; siva; bela,,"Malobrojna pevačica u Srbiji sa kojom se možete sresti na otvorenim travnatim staništima, livadama i pašnjacima sa kamenjarima, ali i u poljoprivrednima predelima, naročito tokom seobe za Afriku. Gnezdo smešta u pukotinama u kamenju, stenama, kamenim zidovima i srušenim objektima. Prepoznatljiva po belom repu sa širokom crnom prugom na kraju i kratkom uzdužnom po sredini. Odrasli mužjaci imaju crna krila, siva leđa, crnu masku na glavi i izraženu belu očnu prugu (superciliju). ",482,"14,5-16",26-32,17-30,insekti i njihove larve,Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
